latitude,longitude,smell_value,smell_description,feelings_symptoms,additional_comments,zip_code_id,zipcode,epoch time,date & time,date,sprague_miles,portland_pipeline_miles,south_portland_terminal_miles,gulf_oil_miles,global_miles,citgo_miles
43.6291,-70.2943,4,Petroleum,,,1018,04106,1577896764,Wed Jan  1 11:39:24 2020,01/01/20,0.6863461926525499,1.1523205737216837,0.6531678809334904,3.100943875962399,0.6156676238143447,1.4580269041411926
43.6567,-70.2736,3,jet fuel emissions or the S. Portland petro facility,,,667,04102,1578977739,Mon Jan 13 23:55:39 2020,01/13/20,1.4925544936676702,1.8849028183598409,1.5511834512592022,1.7558167196973395,1.634254769422702,1.3979648309989219
43.6264,-70.2946,3,Petroleum ,Headache ,,1018,04106,1579109363,Wed Jan 15 12:29:23 2020,01/15/20,0.8529805539963942,1.186568094612235,0.8073021030167152,3.206175324446873,0.7524509045680654,1.5511115110501208
43.6325,-70.2597,4,"Pungent, oil",,,1018,04106,1579561694,Mon Jan 20 18:08:14 2020,01/20/20,1.3757327376553523,0.6162205910020341,1.3028335208159487,1.5845494323565676,1.2450428780360134,0.4920654354457623
43.6296,-70.2622,3,,,,1018,04106,1582473259,Sun Feb 23 10:54:19 2020,02/23/20,1.32088949761958,0.45513865042423474,1.2360670762691681,1.8193193710792,1.1615530308668918,0.5726062481426168
43.6357,-70.2855,4,Petroleum smell,,,1018,04106,1582636749,Tue Feb 25 08:19:09 2020,02/25/20,0.11374556599662015,0.8306404575208883,0.019068090778150065,2.504714094658946,0.10406910953180258,0.9154086490921831
43.6322,-70.2638,4,Industrial petroleum tanks,"Sore throat, dizziness ",,1018,04106,1582998784,Sat Feb 29 12:53:04 2020,02/29/20,1.1832403895103527,0.4189062087494771,1.1063078269733864,1.7366020425814774,1.044016753690577,0.3760207297169906
43.6339,-70.2869,4,Petroleum,,,1018,04106,1583099369,Sun Mar  1 16:49:29 2020,03/01/20,0.23030823292988367,0.8386473691115696,0.16189727369495865,2.6203217078465175,0.1285831236803548,1.0043094525136373
43.6334,-70.2879,3,Petroleum,,,1018,04106,1583113177,Sun Mar  1 20:39:37 2020,03/01/20,0.27401702462788186,0.8742042828409753,0.21838960947992023,2.6804233302209948,0.18723208583893508,1.0608679180834937
43.65,-70.2702,3,Hot asphalt,Very unpleasant ,,667,04102,1583157477,Mon Mar  2 08:57:57 2020,03/02/20,1.2000387425166148,1.418981011650514,1.231898615759396,1.5280354272878043,1.2923228727299976,0.9101783340056472
43.6351,-70.2447,5,Burnt tar,"Sore throat, tight chest ",,1018,04106,1583208990,Mon Mar  2 23:16:30 2020,03/02/20,2.0925547414070924,1.386362125036696,2.032726227177533,1.07703478599568,1.989461893515019,1.1391631822658803
43.6335,-70.2442,5,Burning gas,"Tightness in chest, headache, tightness in throat",,1018,04106,1583209082,Mon Mar  2 23:18:02 2020,03/02/20,2.1280452332481223,1.3841357239850474,2.063827937188373,1.1798553056518146,2.0149295784031236,1.1817227108775357
43.6395,-70.2339,3,Oil,,,1018,04106,1583237350,Tue Mar  3 07:09:10 2020,03/03/20,2.632768853825015,1.9954662515379389,2.584287822062033,0.7970208913548232,2.5538296788451085,1.6809150798298254
43.643,-70.2395,4,Smell of burning rubber ,Throat congestion ,,1018,04106,1583240095,Tue Mar  3 07:54:55 2020,03/03/20,2.3815254530675096,1.845094348515588,2.3436591104973767,0.5008442407646904,2.3262108069565777,1.4520821596053572
43.6331,-70.2861,5,Petroleum,,,1018,04106,1583456134,Thu Mar  5 19:55:34 2020,03/05/20,0.28467441484318456,0.7821289240028438,0.1998995175997505,2.608940532849582,0.12328547509265682,0.9790496603221288
43.6424,-70.2382,4,Smells like burning diesel fuel; acrid; permeates my house,Throat and eyes,,1018,04106,1583491972,Fri Mar  6 05:52:52 2020,03/06/20,2.4392555336895656,1.8814826548161268,2.3992637195748,0.5472408275668273,2.379214528517858,1.5037450904626208
43.6347,-70.2882,3,Petroleum,,,1018,04106,1583498973,Fri Mar  6 07:49:33 2020,03/06/20,0.1956007781681869,0.9197919076258012,0.16869712398822884,2.656291780554965,0.18979031150332112,1.0582087637024644
43.6328,-70.2821,3,Petroleum,Nose irritation,,1018,04106,1583534035,Fri Mar  6 17:33:55 2020,03/06/20,0.3733337645373567,0.5873480649550024,0.26901941484272396,2.4424761868859264,0.16126494459066243,0.7958938203946351
